video_id,video_type,title,desc,create_time,user_id,nickname,avatar,liked_count,disliked_count,video_play_count,video_favorite_count,video_share_count,video_coin_count,video_danmaku,video_comment,last_modify_ts,video_url,video_cover_url,source_keyword
770612747,video,【无剧透】这可能是b站最全面的不眠之夜介绍和攻略！｜上海沉浸式戏剧不眠之夜SLEEP NO MORE,标题先这么写 如果有人反驳我立刻修改?,1656762226,5696642,Violet阿瑜,https://i2.hdslb.com/bfs/face/92a51c435222df584f34e2c027ca6894b897331e.jpg,1032,0,65690,771,1941,248,33,84,1764389184263,https://www.bilibili.com/video/av770612747,http://i1.hdslb.com/bfs/archive/f361362f453fb1dedcc9bf5bc3bf64bc40d51c89.jpg,上海 不眠之夜
375141330,video,【不眠之夜】花800块看男人洗澡，女子直呼刺激！【linlin】,真的值！！！,1619146812,290738125,linlin的奇妙冒险,https://i1.hdslb.com/bfs/face/ad76c919a78667752fcaf1b93668e6e2b800e827.jpg,12024,0,369783,5612,11945,5417,840,506,1764389184273,https://www.bilibili.com/video/av375141330,http://i0.hdslb.com/bfs/archive/73c9ca9fc314aaa034d0e68f8b7a4abb5304ab20.jpg,上海 不眠之夜
113583463596479,video,上海沉浸剧场《不眠之夜》震撼体验全面分析：主线剧情篇,-,1733146899,382113925,wolfgangstark,https://i1.hdslb.com/bfs/face/3718924f066c2503d33a5174a9c66a2ce41145c9.jpg,96,0,4693,34,57,7,0,12,1764389184284,https://www.bilibili.com/video/av113583463596479,http://i2.hdslb.com/bfs/archive/fc85a7bf1448114a589891c9731061528920d5e1.jpg,上海 不眠之夜
358474760,video,后劲太大！演员当众洗澡、滚床单…,前不久去上海看了沉浸式戏剧的鼻祖《不眠之夜》，由于后劲太大，被我列为去上海必须要体验的一件事，正常体验在六层的神秘大楼里，你可以随意跟着不同的主角在黑暗中到处跑，看他们在你面前推动故事，实属真实又刺激，由于故事改编自莎士比亚的《麦克白》，希望帮助更多第一次去的人先做一个观前攻略，加倍体验分，同时和二刷过的朋友们聊聊神秘的小黑屋和单线剧情，欢迎《不眠之夜》的狂热粉来评论区补充细节，留言区见,1689324994,291227900,白嵩,https://i2.hdslb.com/bfs/face/8ffe9444fc1a0105d93808cda4d8df4bf386b424.jpg,1118,0,49681,1062,1119,219,39,128,1764389184297,https://www.bilibili.com/video/av358474760,http://i0.hdslb.com/bfs/archive/f1707bdc01bdf00ec7c8f5b8c8f88acff59effa1.jpg,上海 不眠之夜
97607088,video,上海版《不眠之夜》- 官方宣传片,Sleep No More 上海版 - Official Trailer,1584682554,522288385,不眠之夜SleepNoMore,http://i1.hdslb.com/bfs/face/d234e71ebeb4e1dc8e2efb0df30147739f04f9ee.jpg,1915,0,115682,949,3724,272,28,40,1764389184304,https://www.bilibili.com/video/av97607088,http://i0.hdslb.com/bfs/archive/d157e0e98f3fb67022c8e0542bed3cdf9ef2634e.jpg,上海 不眠之夜
99302518,video,Sleep No More 不眠之夜上海场 | 白日梦沙龙 【已完结】,"0325 白日梦沙龙 Vol.1
0402 白日梦沙龙 Vol.2 Somniloquy 「 喃语梦呓 」
0425 Pipe Dream Salon Vol.3 Batch Society 「亲密游戏」
0508 Pipe Dream Salon Vol.4 The Callers「秘密召唤」
0520 Pipe Dream Salon Vol.5 Pipe Dream Rally 「狂欢时刻」
Vol.1 Nicholas 的第一首没有录进去！！！
录屏技术不好请多多包涵！！！",1585192760,9738932,AmongTheCrowd,https://i2.hdslb.com/bfs/face/d2e2ef9b9ff13e9826b78c094983077430ff5b78.jpg,306,0,36243,855,184,128,13,12,1764389184311,https://www.bilibili.com/video/av99302518,http://i0.hdslb.com/bfs/archive/4e0e6c64df6dba9a8d15475a7c347dbc38c377b6.jpg,上海 不眠之夜
241638384,video,《崩坏：星穹铁道》OP：「不眠之夜」,"梦境里那个声音笑着说：「带我离开。」
但我却亲手杀死了睡眠、忘记了时间。

中文演唱者：张杰

英文演唱者：Jake Miller",1706270400,1340190821,崩坏星穹铁道,https://i2.hdslb.com/bfs/face/c27e19b8861be105b9d80b6743756c35027ae736.jpg,1726831,0,48181970,1009630,508161,1418298,101708,103265,1764389184318,https://www.bilibili.com/video/av241638384,http://i2.hdslb.com/bfs/archive/987f433d2fcc8f6f4fb685d8a10d38fbe468d6e5.jpg,上海 不眠之夜
17933959,video,Sleep No More 不眠之夜上海场 | 麦金侬酒店2017跨年夜Cabaret,"2017.12.31上海场Sleep No More跨年夜特殊演出
主题：Cabaret歌舞表演
SNM入驻上海一年来最炸的一次活动
现有卡司几乎全体上阵
新的一年大家继续相约麦金侬~",1514988529,25681710,Deimos碎片,https://i0.hdslb.com/bfs/face/4e2d3b78a67120a37191b8dd123d674d0b887ed3.jpg,344,0,41943,921,423,136,31,32,1764389184325,https://www.bilibili.com/video/av17933959,http://i2.hdslb.com/bfs/archive/0444251acbafda05826fad6f91dec1803efedbbc.jpg,上海 不眠之夜
858574393,video,为什么你爱看《不眠之夜》--沉浸式剧场之谜,"由Punchdrunk在上海麦金侬酒店所制作的《Sleep No More不眠之夜》
为什么会如此的受欢迎？大部分观众曾多次回购该剧的门票，而最高的曾经是买过高达70次以上的门票
那么《不眠之夜》的魅力到底是什么呢？
今天将为大家介绍这个超级厉害来自英国的Punchdrunk制作团队，他们是如何进行创作与制作的
同时他们曾被多家媒体评为当代沉浸式剧场之最，那么沉浸式剧场又是什么呢？
这种与过往剧场当中的表演有什么差异嘛？
今天在不剧透的情况下，来和大家分析一下《不眠之夜》令我们著迷的地方到底在那裡吧！",1664683200,517245807,马骝金,https://i0.hdslb.com/bfs/face/893e88724d21be9c7c20c7151fe74a71dcffedc3.jpg,329,0,17097,345,275,162,17,29,1764389184331,https://www.bilibili.com/video/av858574393,http://i0.hdslb.com/bfs/archive/1ef9d674498ecdf9a645d20ac8b71714bea92c42.jpg,上海 不眠之夜
1202116307,video,崩坏：星穹铁道｜《不眠之夜》首唱！张杰3.22上海演唱会,崩坏：星穹铁道｜《不眠之夜》首唱！张杰3.22上海演唱会,1711160050,3493082817366845,JLRS-jayfm,https://i2.hdslb.com/bfs/face/0da24ae60a20f0f00855a534678864d095d0e900.jpg,101608,0,1147426,12878,6371,2066,594,1387,1764389184336,https://www.bilibili.com/video/av1202116307,http://i0.hdslb.com/bfs/archive/79e4324af0eb33b8ad4088179dd388b4ee40da77.jpg,上海 不眠之夜
